ID,ID_person,Square,Rooms,Price
0,5275,42,1,8904
1,3366,65,2,15665
2,4096,96,6,25344
3,4820,119,5,36414
4,4564,38,2,14098
5,9519,109,6,33899
6,9325,84,3,19404
7,7875,39,1,9984
8,1174,42,2,13860
9,1530,107,4,29425
10,6166,109,6,22018
11,1625,71,3,22933
12,7890,123,5,33702
13,229,43,1,11481
14,4361,66,3,14058
15,2685,76,3,22800
16,6782,51,2,13515
17,8397,39,1,12324
18,3313,108,4,24948
19,6802,109,4,43273
20,8448,65,3,18915
21,665,53,2,19080
22,9866,82,3,24846
23,6415,37,1,8806
24,7795,117,4,36621
25,8019,81,5,28431
26,1457,110,5,32010
27,7444,68,2,15980
28,7264,43,1,16641
29,4931,99,,22869
30,9744,59,3,16225
31,1717,103,4,34608
32,275,84,4,17808
33,5332,76,4,27436
34,6825,88,3,32736
35,2439,91,4,25753
36,2669,42,2,16548
37,1065,112,5,23408
38,3884,103,4,31106
39,2869,57,2,21432
40,8281,54,2,16632
41,9133,55,2,17105
42,4841,117,6,36153
43,6760,127,7,26416
44,1340,96,4,35232
45,3593,33,1,9075
46,645,89,5,24119
47,1037,110,6,23210
48,84,97,4,37054
49,889,34,2,9656
50,5984,118,5,38114
51,4708,127,7,25908
52,8943,88,4,25344
53,6241,71,3,20803
54,8342,102,6,20706
55,7027,90,5,35190
56,4935,119,5,43435
57,8007,118,6,33394
58,2051,129,,51213
59,1565,106,4,37948
60,163,113,5,36951
61,1083,119,5,46053
62,4755,71,3,24921
63,6112,90,5,29520
64,7466,98,5,33320
65,5141,89,4,28391
66,9858,35,1,13265
67,2944,75,3,18075
68,6093,51,2,18360
69,9397,85,,28135
70,5151,59,3,16166
71,9596,41,2,9307
72,1675,65,3,16835
73,1826,39,1,12987
74,754,91,5,34398
75,456,111,,31635
76,2733,32,2,11200
77,9597,75,3,27525
78,4027,108,5,32940
79,430,57,3,16131
80,9518,54,2,17982
81,9461,89,4,21093
82,1207,103,6,30900
83,5053,78,4,30888
84,8695,109,6,39894
85,317,88,4,22792
86,484,104,6,22776
87,7141,120,6,43080
88,2033,97,6,29197
89,9158,50,2,17650
90,4837,107,,34882
91,1668,111,6,43956
92,7185,37,2,7844
93,1018,108,4,24408
94,5814,83,5,21331
95,5765,36,1,14256
96,9778,35,1,12180
97,6097,126,7,49140
98,7684,30,1,9000
99,5361,42,2,12978
100,2483,86,3,26488
101,1562,71,2,26128
102,8786,81,3,30537
103,182,51,3,14739
104,6437,112,5,26208
105,7350,72,3,15120
106,5301,89,,19847
107,8602,52,,12168
108,3648,95,5,27170
109,9136,60,3,19080
110,9952,44,,11836
111,5967,30,1,10410
112,632,91,5,30303
113,1147,33,2,9636
114,1845,52,2,15288
115,7929,31,1,11036
116,2830,108,4,26460
117,4658,91,4,31941
118,7630,74,3,22718
119,2125,89,,27412
120,6089,107,,21721
121,508,50,2,15200
122,6949,60,3,19320
123,299,54,2,20682
124,2195,51,2,19839
125,4254,42,2,16506
126,9395,97,6,24735
127,6405,64,3,24640
