ID,ID_person,Model,Power,Price
0,4578,Audi,75,3502678
1,1278,KIA,,3746750
2,9172,Mercedez-Benz,,2677991
3,5664,Infiniti,301,3018459
4,7693,Subaru,313,1770317
5,3275,Ford,442,1761592
6,8850,Toyota,124,852171
7,3778,Infiniti,134,3302322
8,4774,KIA,488,691455
9,5304,Subaru,354,343144
10,2619,Nissan,399,3013871
11,7091,BMW,201,2723350
12,1434,LADA,310,3637009
13,1881,Subaru,183,2762703
14,3496,Toyota,135,3043139
15,5455,Subaru,125,3499454
16,8003,Nissan,,299699
17,332,Audi,186,2038875
18,3477,Toyota,,1008009
19,9656,BMW,175,1231558
20,7998,Nissan,123,2382652
21,3731,Daewoo,434,1539183
22,4346,LADA,384,781778
23,6733,Infiniti,481,3184886
24,6213,Mercedez-Benz,463,3544311
25,9135,Infiniti,376,1257611
26,3361,KIA,388,1874233
27,750,Audi,145,403648
28,2170,Toyota,372,2955878
29,4531,Nissan,81,1379815
30,1041,Infiniti,414,1566345
31,3498,Nissan,361,2041559
32,6836,Nissan,211,3787264
33,7519,KIA,209,3001580
34,4755,LADA,435,3524026
35,5385,Toyota,303,2426787
36,1374,Ford,283,1336277
37,3280,KIA,435,2813913
38,1712,Ford,143,1633967
39,3323,Nissan,165,3734410
40,7776,Infiniti,260,2499435
41,4463,Toyota,,1331947
42,7471,Mercedez-Benz,354,2839080
43,5057,Audi,406,447007
44,8562,Mercedez-Benz,429,1400178
45,1516,KIA,103,2308453
46,2465,Subaru,286,641389
47,6562,Toyota,321,295237
48,6794,Audi,386,2027526
49,2421,Ford,93,2915577
50,4178,Subaru,290,2738731
51,7407,KIA,362,1407604
52,9920,Mercedez-Benz,354,277953
53,6979,Nissan,73,1395313
54,39,Ford,133,887491
55,7422,LADA,411,2616366
56,9998,Toyota,459,2134824
57,7327,Ford,315,3549926
58,9686,LADA,130,1192230
59,1466,Toyota,286,1943513
60,5020,Nissan,94,3703656
61,8116,BMW,358,953043
62,5238,BMW,226,3828497
63,9081,Mercedez-Benz,257,2577240
64,1945,Mercedez-Benz,,1924366
65,1050,Audi,315,3422526
66,6302,Daewoo,132,1093619
67,1098,BMW,458,2795603
68,1873,Toyota,186,642939
69,4443,Ford,115,886045
70,5347,Nissan,282,1206055
71,7226,Audi,320,1878646
72,9557,LADA,380,846336
73,8894,BMW,243,1639570
74,7598,Toyota,450,2501652
75,9304,Mercedez-Benz,378,641481
76,1170,Nissan,300,2349237
77,3900,Toyota,155,2309890
78,6442,Audi,383,3121079
79,7634,Infiniti,331,280181
